idMarca,version,marca
1981,"FAIRMONT VAG STD ","FORD"
1981,"GREMLIN AUT","VAM RAMBLER"
1981,"GREMLIN STD","VAM RAMBLER"
1981,"JEEP CJ-7 CAPOTA LONA O METALICA","VAM RAMBLER"
1981,"JEEP RENEGADO","VAM RAMBLER"
1981,"JEEP WAGONEER AUT","VAM RAMBLER"
1981,"JEEP WAGONEER STD","VAM RAMBLER"
1981,"LE BARON SEDAN 8 CIL","CHRYSLER"
1981,"LERMA AUT","VAM RAMBLER"
1981,"LTD EQ 8 CIL","FORD"
1981,"LTD NORMAL 8 CIL","FORD"
1981,"LTD VAG EQ A/AC 8 CIL","FORD"
1981,"LTD VAG NORMAL 8 CIL","FORD"
1981,"MALIBU","CHEVROLET"
1981,"MALIBU CLASSIC 6 CIL","CHEVROLET"
1981,"MALIBU LANDAU AUT 6 CIL","CHEVROLET"
1981,"MALIBU LANDAU AUT A/AC","CHEVROLET"
1981,"MONTECARLO CLASSIC SD AUT 8 CIL","CHEVROLET"
1981,"MONTECARLO LANDAU SD AUT 8 CIL","CHEVROLET"
1981,"MONTECARLO SS","CHEVROLET"
1981,"MUSTANG FAST BACK AUT 8 CIL","FORD"
1981,"MUSTANG FAST BACK AUT EQ A/AC E/E 8 CIL","FORD"
1981,"MUSTANG FAST BACK STD 8 CIL","FORD"
1981,"MUSTANG HT AUT 8 CIL","FORD"
1981,"MUSTANG HT AUT A/AC E/E 8 CIL","FORD"
1981,"MUSTANG HT STD 8 CIL","FORD"
1981,"R-12 CUSTOM 1300 SD","RENAULT"
1981,"R-12 ROUTIER 1300 SD","RENAULT"
1981,"R-18 SD AUSTERO 1.6L","RENAULT"
1981,"R-18 VAG CUSTOM AUSTERO 1.6L","RENAULT"
1981,"R-5 MIRAGE TX","RENAULT"
1981,"R18 1600 SD AUT","RENAULT"
1981,"R18 GTX AUT 2 LITROS AAC","RENAULT"
1981,"R5 CUSTOM","RENAULT"
1981,"SEDAN 1.6L 4CIL","VOLKSWAGEN"
1981,"TSURU SAMURAI AUSTERO STD 4 CIL","NISSAN"
1981,"VALIANT VOLARE COUPE 2 PTAS AUT","CHRYSLER"
1981,"VALIANT VOLARE STD 4 CIL","CHRYSLER"
1982,"AMERICAN SD AUT","VAM RAMBLER"
1982,"AMERICAN SD STD","VAM RAMBLER"
1982,"ATLANTIC C","VOLKSWAGEN"
1982,"ATLANTIC GL SD AUT 4 CIL","VOLKSWAGEN"
1982,"ATLANTIC GL SD STD 4 CIL","VOLKSWAGEN"
1982,"ATLANTIC SD STD AUSTERO 4 CIL","VOLKSWAGEN"
1982,"B-150 CARRY ALL AUT 8CIL","CLASICO ANTIGUO AUTO"
1982,"BRASILIA STD 4 CIL","VOLKSWAGEN"
1982,"CAPRICE CLASSIC SD AUT 8 CIL","CHEVROLET"
1982,"CAPRICE SEMIEQ 8 CIL","CHEVROLET"
1982,"CARIBE C STD 4 CIL","CLASICO ANTIGUO AUTO"
1982,"CARIBE C STD 4 CIL","VOLKSWAGEN"
1982,"CARIBE GL AUT 4 CIL","VOLKSWAGEN"
1982,"CARIBE GL STD 4 CIL","VOLKSWAGEN"
1982,"CARIBE L AUT 4 CIL","VOLKSWAGEN"
1982,"CARIBE STD 4 CIL","VOLKSWAGEN"
1982,"CELEBRITY STD AUSTERO","CHEVROLET"
1982,"CELEBRITY TIPICO STD/AUT 6 CIL","CHEVROLET"
1982,"CITATION AUSTERO STD","CHEVROLET"
1982,"CITATION AUT A/AC","CHEVROLET"
1982,"CITATION CUSTOM AUT","CHEVROLET"
1982,"COMBI VAGONETA STD 4 CIL","VOLKSWAGEN"
1982,"DART K AUT AUSTERO 4/6 CIL.","CHRYSLER"
1982,"DART K VAG TIPICA AUT 4 CIL","CHRYSLER"
1982,"DART K VAG TIPICA STD 4 CIL","CHRYSLER"
1982,"DART SD 6 CIL STD","CHRYSLER"
1982,"DATSUN 1600 AUT 4 CIL","NISSAN"
1982,"DATSUN 1600 STD 4 CIL","NISSAN"
1982,"DATSUN 1600 VAG STD 4 CIL","NISSAN"
1982,"DATSUN 1800 STD LUJO 4 CIL","NISSAN"
1982,"DATSUN SAMURAI 1800 HB STD","NISSAN"
1982,"DATSUN SEDAN LUJO AUT 4CIL","NISSAN"
1982,"FAIRMONT ELITE AUT","FORD"
1982,"FAIRMONT ELITE STD","FORD"
1982,"FAIRMONT SD AUT","FORD"
1982,"FAIRMONT SD STD","FORD"
1982,"FAIRMONT VAG AUT","FORD"
1982,"FAIRMONT VAG STD ","FORD"
1982,"GRAND MARQUIS SD AUT EQ 8 CIL","FORD"
1982,"GRAND MARQUIS SD AUT NORMAL 8 CIL","FORD"
1982,"GRAND MARQUIS VAG AUT A/AC 8 CIL","FORD"
1982,"GRAND MARQUIS VAG AUT NORMAL","FORD"
1982,"GREMLIN AUT","VAM RAMBLER"
1982,"GREMLIN STD","VAM RAMBLER"
1982,"JEEP 6CIL","CLASICO ANTIGUO AUTO"
1982,"JEEP CJ-7 CAPOTA LONA O METALICA","JEEP"
1982,"JEEP CJ-7 CAPOTA PLASTICO","VAM RAMBLER"
1982,"JEEP WAGONEER AUT","VAM RAMBLER"
1982,"JEEP WAGONEER STD","VAM RAMBLER"
1982,"LE BARON VAGONETA 6/8CIL","CLASICO ANTIGUO AUTO"
1982,"MONTECARLO SS","CHEVROLET"
1982,"MUSTANG FAST BACK AUT 8 CIL","FORD"
1982,"MUSTANG HT AUT 8 CIL","FORD"
1982,"MUSTANG HT AUT A/AC E/E 8 CIL","FORD"
1982,"MUSTANG HT STD","FORD"
1982,"R-12 ROUTIER 1300 SD","RENAULT"
1982,"R-18 CUSTOM VAG AUSTERA","RENAULT"
1982,"R-18 PLUS STD 1.6L","RENAULT"
1982,"R12 CUSTOM 1300 SD","RENAULT"
1982,"R12 ROUTIER 1300 VAG","RENAULT"
1982,"R18 1600 SD AUT","RENAULT"
1982,"R18 GTX STD 2 LITROS AAC","RENAULT"
1982,"R5 MIRAGE TX","RENAULT"
1982,"SAKURA HT 1800 STD AUSTERO","NISSAN"
1982,"SD 1600 STD 4 CIL","VOLKSWAGEN"
1982,"TSURU SAMURAI AUT TIPICO","NISSAN"
1982,"VALIANT VOLARE K AUT","CHRYSLER"
1982,"VW SEDAN","CLASICO ANTIGUO AUTO"
1983,"1600 VAG STD","NISSAN"
1983,"AMERICAN 6CIL","CLASICO ANTIGUO AUTO"
1983,"ATLANTIC C","VOLKSWAGEN"
1983,"ATLANTIC GL SD AUT 4 CIL","VOLKSWAGEN"
1983,"ATLANTIC GL SD STD 4 CIL","VOLKSWAGEN"
1983,"ATLANTIC SD STD AUSTERO 4 CIL","VOLKSWAGEN"
1983,"CARIBE GL AUT 4 CIL","VOLKSWAGEN"
1983,"CARIBE GL STD 4 CIL","VOLKSWAGEN"
1983,"CARIBE STD 4 CIL","VOLKSWAGEN"
1983,"CELEBRITY AUSTERO STD 6 CIL","CHEVROLET"
1983,"CELEBRITY STD LUJO A/AC 6 CIL","CHEVROLET"
1983,"CELEBRITY TIPICO AUT 6 CIL","CHEVROLET"
1983,"CENTURY AUT EQ A/AC 6 CIL","CHEVROLET"
1983,"CENTURY COUPE AUT EQ AAC","CHEVROLET"
1983,"CITATION AUT A/AC","CHEVROLET"
1983,"CITATION STD CUSTOM","CHEVROLET"
1983,"CITATION STD TIPICO","CHEVROLET"
1983,"CITATION STD X11","CHEVROLET"
1983,"COMBI VAGONETA STD 4 CIL","VOLKSWAGEN"
1983,"DART K AUT AUSTERO 4CIL","CHRYSLER"
1983,"DART K AUT EQ A/AC 4 CIL","CHRYSLER"
1983,"DART K SD STD AUSTERO 4 CIL","CHRYSLER"
1983,"DART K TIPICO STD 4 CIL","CHRYSLER"
1983,"DART K VAG TIPICA STD 4 CIL","CHRYSLER"
1983,"DATSUN 1600 AUSTERO STD 4 CIL","NISSAN"
1983,"DATSUN 1600 STD 4 CIL","NISSAN"
1983,"DATSUN 1600 STD LUJO 4 CIL","NISSAN"
1983,"DATSUN 1600 VAG AUSTERA 4 CIL","NISSAN"
1983,"DATSUN 1800 AUT 4 CIL","NISSAN"
1983,"DATSUN 1800 STD LUJO 4 CIL","NISSAN"
1983,"DATSUN 1800 VAG AUT 4 CIL","NISSAN"
1983,"FAIRMONT ELITE AUT","FORD"
1983,"FAIRMONT ELITE AUT A/AC","FORD"
